[[0.82136406 0.        ]
 [0.         0.        ]]
         724932 function calls (722597 primitive calls) in 0.858 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 enum.py:779(_create_pseudo_member_)
        8    0.000    0.000    0.000    0.000 core.py:8012(getdoc)
        2    0.000    0.000    0.000    0.000 numeric.py:469(asarray)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:518(exists)
      131    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        8    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
      433    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 functions.py:70(<listcomp>)
       45    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        1    0.000    0.000    0.000    0.000 functions.py:73(init_t)
        2    0.000    0.000    0.000    0.000 enum.py:176(<setcomp>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:707(_formatArray)
        1    0.000    0.000    0.000    0.000 _datasource.py:459(abspath)
        1    0.000    0.000    0.000    0.000 core.py:2710(MaskedArray)
        2    0.000    0.000    0.000    0.000 core.py:2931(__array_finalize__)
      7/1    0.000    0.000    0.000    0.000 arrayprint.py:716(recurser)
       20    0.000    0.000    0.000    0.000 mixins.py:20(_binary_method)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        5    0.000    0.000    0.000    0.000 ntpath.py:75(join)
        1    0.000    0.000    0.000    0.000 enum.py:851(_decompose)
        1    0.000    0.000    0.000    0.000 functions.py:165(pdistance)
        1    0.000    0.000    0.000    0.000 core.py:2775(__new__)
       20    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
      317    0.000    0.000    0.000    0.000 overrides.py:146(decorator)
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
        1    0.000    0.000    0.000    0.000 linalg.py:82(_determine_error_states)
      188    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
       15    0.000    0.000    0.000    0.000 enum.py:69(__setitem__)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
        3    0.000    0.000    0.000    0.000 _datasource.py:373(_isurl)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:246(_set_array_types)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
      192    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.000    0.000 threading.py:1166(__init__)
      388    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        4    0.000    0.000    0.000    0.000 parse.py:361(urlparse)
       85    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
        2    0.000    0.000    0.000    0.000 arrayprint.py:460(decorating_function)
        2    0.000    0.000    0.000    0.000 enum.py:633(<listcomp>)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:22(<module>)
        4    0.000    0.000    0.000    0.000 numeric.py:3058(__enter__)
       30    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 _globals.py:67(__new__)
