[[0.82136406 1.64791843        nan 0.        ]
 [0.         0.442919   0.82785871 0.        ]
 [0.         0.         0.3050718  0.        ]
 [0.         0.         0.         0.        ]]
         52684456 function calls (52682107 primitive calls) in 41.168 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 linecache.py:37(getlines)
        1    0.000    0.000    0.001    0.001 linecache.py:82(updatecache)
        2    0.000    0.000    0.001    0.000 enum.py:612(_convert)
     3484    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.001    0.001 glob.py:9(glob)
       44    0.000    0.000    0.001    0.000 core.py:146(get_object_signature)
        2    0.000    0.000    0.001    0.000 glob.py:39(_iglob)
        1    0.000    0.000    0.001    0.001 old.py:32(lire_fasta)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
        1    0.000    0.000    0.000    0.000 glob.py:79(_glob1)
       26    0.000    0.000    0.000    0.000 core.py:6567(__init__)
       53    0.000    0.000    0.000    0.000 core.py:892(__init__)
       54    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFBF3256BA0}
      599    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
      102    0.000    0.000    0.000    0.000 re.py:170(match)
       26    0.000    0.000    0.000    0.000 core.py:6572(getdoc)
        2    0.000    0.000    0.000    0.000 enum.py:388(_create_)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
     3205    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method io.open}
      393    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
