[[0.82136406 1.64791843        nan 0.        ]
 [0.         0.442919   0.82785871 0.        ]
 [0.         0.         0.3050718  0.        ]
 [0.         0.         0.         0.        ]]
         54075180 function calls (54056820 primitive calls) in 39.747 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1053    0.005    0.000    0.008    0.000 ntpath.py:178(split)
        1    0.000    0.000    0.008    0.008 pyparsing.py:5399(pyparsing_common)
      278    0.008    0.000    0.008    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.008    0.008 current.py:1(<module>)
    21369    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
      790    0.006    0.000    0.008    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.008    0.008 ansi.py:1(<module>)
        1    0.000    0.000    0.008    0.008 parser.py:5(<module>)
     8962    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        6    0.007    0.001    0.008    0.001 old.py:283(backtrack)
      860    0.001    0.000    0.008    0.000 __init__.py:1468(_fn)
        1    0.000    0.000    0.008    0.008 feedparser.py:20(<module>)
        2    0.000    0.000    0.007    0.004 specifiers.py:275(Specifier)
    30/28    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
        1    0.000    0.000    0.007    0.007 platform.py:10(<module>)
    30/28    0.002    0.000    0.007    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.007    0.007 __init__.py:24(<module>)
        1    0.000    0.000    0.007    0.007 py3k.py:4(<module>)
     1398    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      189    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.007    0.007 verifier.py:173(_write_source)
    12666    0.005    0.000    0.007    0.000 sre_parse.py:164(__getitem__)
        2    0.000    0.000    0.007    0.003 parser.py:1(<module>)
        1    0.000    0.000    0.007    0.007 grammar.py:1(<module>)
       11    0.000    0.000    0.007    0.001 argparse.py:2437(format_help)
      116    0.001    0.000    0.006    0.000 decorator.py:156(make)
       16    0.000    0.000    0.006    0.000 six.py:80(_import_module)
        8    0.000    0.000    0.006    0.001 six.py:114(_resolve)
     5318    0.003    0.000    0.006    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.006    0.006 PyrexTypes.py:5(<module>)
        1    0.000    0.000    0.006    0.006 numerictypes.py:81(<module>)
 2544/731    0.004    0.000    0.006    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.006    0.006 pythoncom.py:2(<module>)
        1    0.000    0.000    0.006    0.006 _datasource.py:35(<module>)
        2    0.000    0.000    0.006    0.003 path.py:4(<module>)
        1    0.000    0.000    0.006    0.006 yacc.py:1978(read_table)
       11    0.000    0.000    0.006    0.001 argparse.py:283(format_help)
        1    0.000    0.000    0.006    0.006 _policybase.py:4(<module>)
        1    0.000    0.000    0.006    0.006 verifier.py:166(_write_source_to)
        1    0.000    0.000    0.006    0.006 vengine_cpy.py:54(write_source_to_f)
    33/11    0.000    0.000    0.006    0.001 argparse.py:210(format_help)
        3    0.001    0.000    0.006    0.002 vengine_cpy.py:209(_generate)
    33/11    0.000    0.000    0.006    0.001 argparse.py:215(<listcomp>)
        1    0.000    0.000    0.006    0.006 history.py:1(<module>)
      116    0.001    0.000    0.006    0.000 decorator.py:87(__init__)
13243/13239    0.004    0.000    0.006    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.006    0.006 pathlib.py:1(<module>)
        2    0.000    0.000    0.005    0.003 pywintypes.py:3(__import_pywin32_system_module__)
        1    0.000    0.000    0.005    0.005 depends.py:1(<module>)
        1    0.000    0.000    0.005    0.005 utils.py:4(<module>)
        6    0.004    0.001    0.005    0.001 old.py:257(init_gap)
      240    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
      934    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.000    0.000    0.005    0.005 execution.py:2(<module>)
     3004    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x00007FFE475E6BA0}
       48    0.000    0.000    0.005    0.000 __init__.py:1813(get_metadata_lines)
        1    0.000    0.000    0.005    0.005 process.py:4(<module>)
       48    0.001    0.000    0.005    0.000 __init__.py:1796(get_metadata)
      810    0.001    0.000    0.005    0.000 enum.py:283(__call__)
        1    0.000    0.000    0.005    0.005 _internal.py:6(<module>)
        1    0.000    0.000    0.005    0.005 parser.py:25(<module>)
       14    0.000    0.000    0.005    0.000 six.py:91(__get__)
        1    0.000    0.000    0.005    0.005 py33compat.py:1(<module>)
       19    0.002    0.000    0.005    0.000 enum.py:134(__new__)
     4808    0.003    0.000    0.005    0.000 version.py:114(_parse_version_parts)
      630    0.000    0.000    0.005    0.000 ntpath.py:219(dirname)
       41    0.002    0.000    0.005    0.000 __init__.py:316(namedtuple)
       12    0.000    0.000    0.005    0.000 enum.py:612(_convert)
     1456    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
    60432    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
38860/36354    0.004    0.000    0.005    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.005    0.005 _process_win32.py:4(<module>)
        1    0.000    0.000    0.005    0.005 c_parser.py:9(<module>)
        1    0.000    0.000    0.005    0.005 shutil.py:5(<module>)
        1    0.000    0.000    0.005    0.005 main.py:1(<module>)
        1    0.005    0.005    0.005    0.005 yacctab.py:4(<module>)
        1    0.000    0.000    0.005    0.005 vt100.py:8(<module>)
        6    0.004    0.001    0.005    0.001 old.py:302(alignement_from_backtrack)
      461    0.000    0.000    0.005    0.000 c_lexer.py:76(token)
      103    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        7    0.000    0.000    0.005    0.001 __init__.py:4(<module>)
        1    0.000    0.000    0.005    0.005 function.py:1(<module>)
        1    0.000    0.000    0.005    0.005 tempfile.py:24(<module>)
        1    0.000    0.000    0.005    0.005 socket.py:47(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:315(__getattr__)
        1    0.000    0.000    0.004    0.004 __init__.py:39(_load_lexers)
        1    0.000    0.000    0.004    0.004 __init__.py:97(<module>)
      461    0.002    0.000    0.004    0.000 lex.py:305(token)
      914    0.004    0.000    0.004    0.000 {method 'splitlines' of 'str' objects}
        6    0.000    0.000    0.004    0.001 numeric.py:293(full)
        1    0.000    0.000    0.004    0.004 configurable.py:2(<module>)
        7    0.004    0.001    0.004    0.001 {built-in method numpy.copyto}
        2    0.000    0.000    0.004    0.002 version.py:4(<module>)
      480    0.000    0.000    0.004    0.000 sre_parse.py:96(closegroup)
      118    0.004    0.000    0.004    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.004    0.004 context.py:3(<module>)
      112    0.001    0.000    0.004    0.000 inspect.py:1087(getfullargspec)
     1085    0.004    0.000    0.004    0.000 version.py:343(_cmpkey)
        5    0.000    0.000    0.004    0.001 bar.py:451(__next__)
        1    0.000    0.000    0.004    0.004 html.py:1(<module>)
        1    0.000    0.000    0.004    0.004 coroutine.py:1(<module>)
     2287    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.004    0.004 PyColorize.py:30(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:31(<module>)
        1    0.000    0.000    0.004    0.004 basic.py:1(<module>)
        1    0.000    0.000    0.004    0.004 python.py:10(<module>)
      412    0.000    0.000    0.004    0.000 ntpath.py:212(basename)
        2    0.000    0.000    0.004    0.002 display.py:2(<module>)
        1    0.000    0.000    0.004    0.004 windows_events.py:1(<module>)
        1    0.000    0.000    0.004    0.004 random.py:38(<module>)
        1    0.000    0.000    0.004    0.004 inputtransformer2.py:8(<module>)
        5    0.000    0.000    0.004    0.001 bar.py:549(update)
       13    0.000    0.000    0.004    0.000 enum.py:388(_create_)
       12    0.000    0.000    0.004    0.000 pyparsing.py:4251(__init__)
        1    0.000    0.000    0.004    0.004 basic.py:71(BasicMagics)
      471    0.000    0.000    0.004    0.000 pyparsing.py:1167(copy)
        1    0.000    0.000    0.004    0.004 build_ext.py:75(run)
        5    0.000    0.000    0.004    0.001 bar.py:143(update)
    36/11    0.000    0.000    0.004    0.000 pyparsing.py:3743(leaveWhitespace)
      934    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     3031    0.004    0.000    0.004    0.000 {method 'match' of 're.Pattern' objects}
       36    0.000    0.000    0.004    0.000 argparse.py:495(_format_action)
        1    0.000    0.000    0.004    0.004 old_build_ext.py:177(run)
        1    0.000    0.000    0.004    0.004 build_ext.py:277(run)
        1    0.000    0.000    0.003    0.003 auto_suggest.py:13(<module>)
      144    0.001    0.000    0.003    0.000 inspect.py:2196(_signature_from_callable)
      408    0.002    0.000    0.003    0.000 __init__.py:683(add)
        1    0.000    0.000    0.003    0.003 Code.py:7(<module>)
      135    0.000    0.000    0.003    0.000 genericpath.py:27(isfile)
        2    0.000    0.000    0.003    0.002 imp.py:330(load_dynamic)
        1    0.000    0.000    0.003    0.003 cmd.py:5(<module>)
        2    0.000    0.000    0.003    0.002 <frozen importlib._bootstrap>:686(_load)
