yeah
blue
zalut
         31283971 function calls (31281577 primitive calls) in 28.700 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
        1    0.000    0.000    0.001    0.001 fnmatch.py:11(<module>)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
       19    0.000    0.000    0.001    0.000 abc.py:125(__new__)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
       44    0.000    0.000    0.001    0.000 enum.py:283(__call__)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
     1746    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.001    0.001 fromnumeric.py:3(<module>)
       44    0.000    0.000    0.000    0.000 core.py:146(get_object_signature)
        1    0.000    0.000    0.000    0.000 util.py:73(find_spec)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        2    0.000    0.000    0.000    0.000 enum.py:612(_convert)
       13    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       26    0.000    0.000    0.000    0.000 core.py:6567(__init__)
        1    0.000    0.000    0.000    0.000 type_check.py:3(<module>)
       59    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFE47B06BA0}
        1    0.000    0.000    0.000    0.000 difflib.py:27(<module>)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       26    0.000    0.000    0.000    0.000 core.py:6572(getdoc)
      351    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       20    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
     3511    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
